Prod. year,Levy,Mileage,Engine volume,Manufacturer,Model,Fuel type,Leather interior,Gear box type,Category,Price
2014,639,90000.0,2.0,FORD,Focus,Petrol,Yes,Tiptronic,Hatchback,14740
2004,2342,159000.0,1.2999999523162842,HONDA,FIT,Petrol,No,Variator,Hatchback,8300
2009,1145,180000.0,1.2999999523162842,HONDA,Insight,Hybrid,No,Variator,Hatchback,8624
2016,431,251768.0,2.0,HYUNDAI,Sonata,Hybrid,Yes,Automatic,Sedan,16308
2011,871,184000.0,2.4000000953674316,JEEP,Patriot 70th anniversary,Petrol,Yes,Manual,Jeep,25089
2015,353,205338.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,17249
2010,1399,56503.0,3.5,FORD,Taurus,Petrol,Yes,Automatic,Sedan,22843
2013,640,134400.0,2.0,VOLKSWAGEN,CC,Petrol,Yes,Tiptronic,Sedan,18189
2008,289,349288.0,0.4000000059604645,FORD,Escape,Hybrid,Yes,Automatic,Jeep,1333
2011,707,75012.0,2.0,KIA,Optima,Petrol,Yes,Automatic,Sedan,7370
2011,1514,202048.0,4.599999904632568,LEXUS,GX 470,Petrol,Yes,Automatic,Sedan,392
2009,1624,266061.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,1411
2014,684,70000.0,1.5,TOYOTA,Aqua L paketi,Hybrid,No,Tiptronic,Hatchback,13172
2014,528,143000.0,1.600000023841858,HYUNDAI,Accent,Diesel,Yes,Automatic,Sedan,13589
2016,518,129989.0,2.5,LEXUS,ES 350,Hybrid,Yes,Automatic,Sedan,784
2011,831,278989.0,2.4000000953674316,HYUNDAI,Sonata,Hybrid,Yes,Automatic,Jeep,470
2010,761,164466.0,1.7999999523162842,DAEWOO,Lacetti,Petrol,Yes,Automatic,Sedan,8006
2016,891,37898.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,14279
2012,1111,99000.0,1.2999999523162842,HONDA,FIT,Hybrid,No,Automatic,Hatchback,8154
2013,729,116800.0,2.5,TOYOTA,Camry sport,Petrol,Yes,Tiptronic,Sedan,27284
2012,586,142394.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,627
2006,1569,188200.0,4.0,NISSAN,Pathfinder,Petrol,Yes,Automatic,Jeep,13485
2012,919,103458.0,3.0,BMW,X5,Diesel,Yes,Automatic,Jeep,8154
2000,2146,333000.0,2.799999952316284,BMW,528,Petrol,Yes,Tiptronic,Sedan,9095
2006,1569,241000.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Tiptronic,Sedan,17249
2016,730,60650.0,1.600000023841858,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,41221
2010,761,208000.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,14269
2010,1024,182000.0,2.5,SUBARU,Forester,Petrol,No,Tiptronic,Jeep,11300
2014,639,185000.0,2.0,VOLKSWAGEN,Jetta TDI,Diesel,No,Automatic,Sedan,15053
2013,585,67700.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,22894
2011,1172,119379.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,16621
2014,639,91018.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,48998
2012,780,136000.0,2.4000000953674316,KIA,Sportage,Petrol,No,Tiptronic,Jeep,25716
2012,531,121362.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,19121
2008,1434,240000.0,2.0,DODGE,Caliber,Petrol,No,Variator,Hatchback,10036
2012,531,104997.0,1.600000023841858,HYUNDAI,Elantra,Petrol,Yes,Automatic,Sedan,20005
2016,924,23000.0,2.5,MAZDA,Mazda 6,Petrol,Yes,Automatic,Sedan,39201
2013,751,149123.0,2.4000000953674316,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,549
2018,1872,66086.0,3.5999999046325684,VOLKSWAGEN,"1500,1600 Schtufenheck",Petrol,Yes,Automatic,Sedan,12544
2009,966,39031.0,2.0,DAEWOO,Lacetti,Diesel,Yes,Automatic,Sedan,5865
2016,924,29000.0,2.0,CADILLAC,CTS,Petrol,Yes,Automatic,Sedan,12544
2015,1104,110400.0,3.0,BMW,X5,Petrol,Yes,Tiptronic,Jeep,51746
2014,684,129600.0,2.0,VOLKSWAGEN,Jetta,Petrol,No,Manual,Sedan,16308
2013,640,216658.0,2.0,FORD,Fusion,Hybrid,Yes,Automatic,Sedan,549
2016,891,121098.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,48048
2009,1145,15000.0,1.5,TOYOTA,Prius,Hybrid,Yes,Automatic,Sedan,13350
2015,1273,49425.0,3.5,MERCEDES-BENZ,ML 350,Petrol,Yes,Automatic,Jeep,50805
2015,353,67074.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,8781
2010,836,167512.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,22063
2010,1067,71436.0,1.7000000476837158,CHEVROLET,Niva,Petrol,No,Manual,Jeep,13570
2002,1797,135000.0,2.0,NISSAN,X-Trail,Petrol,No,Automatic,Jeep,11604
2013,779,197441.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Universal,23129
2008,1246,156000.0,2.299999952316284,FORD,Escape,Hybrid,Yes,Automatic,Jeep,12544
2018,1327,23333.0,2.5,TOYOTA,Camry,Petrol,Yes,Automatic,Jeep,549
2014,1053,52142.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Automatic,Sedan,549
1981,0,55000.0,1.2999999523162842,VAZ,2103 03,Petrol,Yes,Manual,Sedan,2800
2012,503,128000.0,1.5,TOYOTA,Prius C,Hybrid,No,Variator,Hatchback,15681
2014,684,80000.0,2.4000000953674316,KIA,Optima,Petrol,Yes,Tiptronic,Sedan,29793
2013,729,160000.0,2.0,FORD,C-MAX,Hybrid,No,Variator,Hatchback,17876
2018,1277,12520.0,2.4000000953674316,JEEP,Compass,Petrol,Yes,Automatic,Sedan,8154
2012,642,158400.0,2.0,BMW,528,Petrol,Yes,Tiptronic,Sedan,38400
2004,2342,225600.0,2.0,VOLKSWAGEN,Golf,Petrol,No,Manual,Sedan,4704
2012,1197,365810.0,4.0,TOYOTA,Tacoma,Petrol,Yes,Automatic,Sedan,27911
2009,1537,420550.0,3.299999952316284,TOYOTA,Highlander,Hybrid,Yes,Automatic,Jeep,12074
2007,1310,165000.0,1.5,MAZDA,Demio,Petrol,No,Manual,Hatchback,7527
2010,1067,260000.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,12544
2013,1664,234683.0,5.699999809265137,TOYOTA,Tundra,Petrol,Yes,Automatic,Coupe,125
2018,463,2102.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,40769
2012,781,118000.0,2.5,SUBARU,Outback,Petrol,No,Tiptronic,Jeep,17562
2014,1080,130000.0,3.5999999046325684,DODGE,Caravan tradesman,Petrol,No,Tiptronic,Minivan,16308
2005,2652,142000.0,2.0,NISSAN,X-Trail,LPG,Yes,Automatic,Jeep,11500
2010,1067,111111.0,1.7999999523162842,TOYOTA,Prius,Petrol,Yes,Variator,Hatchback,17562
2018,1872,30606.0,3.5999999046325684,JEEP,Grand Cherokee,Petrol,Yes,Automatic,Sedan,392
2011,1413,39333.0,1.5,HONDA,FIT,Petrol,No,Variator,Hatchback,9408
2010,836,188000.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,19657
2014,271,0.0,1.5,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,784
2002,1797,187000.0,3.0,SUBARU,Legacy,Petrol,Yes,Automatic,Sedan,7213
1999,3138,0.0,2.4000000953674316,FORD,Transit,Diesel,No,Manual,Microbus,12544
1998,1700,0.0,2.9000000953674316,MERCEDES-BENZ,Sprinter,Diesel,No,Manual,Microbus,15500
2000,2146,0.0,4.599999904632568,FORD,Expedition,Petrol,No,Automatic,Jeep,15681
2017,382,22099.0,1.5,HONDA,FIT,Hybrid,Yes,Automatic,Universal,41259
2012,1363,255406.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,12858
2011,871,77000.0,1.5,TOYOTA,Prius,Hybrid,No,Tiptronic,Hatchback,30
2012,1058,140966.0,3.5,TOYOTA,Highlander,Petrol,Yes,Automatic,Jeep,23521
2014,639,251201.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,25591
2003,2046,229000.0,1.2999999523162842,HONDA,FIT,Petrol,No,Variator,Hatchback,6586
2014,1053,200179.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,30734
2016,730,51287.0,1.600000023841858,CHEVROLET,Orlando,Diesel,Yes,Automatic,Jeep,27093
2014,394,179381.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,11133
2013,779,156666.0,2.5,TOYOTA,Camry,Petrol,Yes,Automatic,Sedan,22580
2014,1053,331144.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,30107
2011,871,141000.0,1.2000000476837158,FIAT,500,Petrol,No,Automatic,Coupe,9095
2013,917,135000.0,3.0,LAND ROVER,Discovery,Diesel,Yes,Tiptronic,Jeep,62722
2014,694,83126.0,2.200000047683716,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,54458
2017,831,50518.0,1.600000023841858,SSANGYONG,Actyon,Diesel,Yes,Automatic,Jeep,40092
2014,639,421703.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10036
1998,1700,180003.0,2.0,MERCEDES-BENZ,E 200,CNG,No,Manual,Sedan,7840
2012,780,113600.0,1.399999976158142,CHEVROLET,Volt Full Packet,Plug-in Hybrid,Yes,Variator,Sedan,24462
2014,777,146216.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,30750
2009,1185,176878.0,2.5,HYUNDAI,H1,Diesel,Yes,Automatic,Minivan,15053
2014,639,430149.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10349
1999,3138,200000.0,2.5,HYUNDAI,Galloper,Diesel,No,Automatic,Jeep,4704
2005,2652,92800.0,3.5,MERCEDES-BENZ,CLS 350,Petrol,Yes,Tiptronic,Coupe,24775
2016,1051,74500.0,2.4000000953674316,KIA,Optima,Petrol,No,Tiptronic,Sedan,22580
2011,707,85419.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,7056
2012,642,340106.0,2.0,AUDI,Q5,Petrol,Yes,Automatic,Jeep,470
2013,640,71561.0,2.0,SSANGYONG,Korando,Diesel,Yes,Automatic,Jeep,24920
2014,333,123472.0,2.0,SUBARU,XV,Hybrid,Yes,Automatic,Jeep,2587
2013,585,121712.0,1.7999999523162842,MERCEDES-BENZ,C 250,Petrol,Yes,Automatic,Sedan,23521
2015,934,71104.0,2.5,TOYOTA,RAV 4,Petrol,No,Automatic,Jeep,46728
2010,1399,205968.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,706
2007,867,150000.0,1.2999999523162842,FIAT,500,Diesel,Yes,Manual,Coupe,9095
2015,697,110000.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,No,Tiptronic,Sedan,10349
2011,644,77906.0,1.7999999523162842,CHEVROLET,Cruze,Petrol,Yes,Automatic,Sedan,9095
2011,707,168166.0,2.0,DODGE,Caliber,Petrol,Yes,Automatic,Hatchback,1646
2011,1172,226251.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Coupe,1568
2014,639,347600.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,10036
2012,586,174106.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,1490
2010,1067,101405.0,2.4000000953674316,HYUNDAI,Sonata,Petrol,No,Tiptronic,Sedan,17249
2018,1327,6800.0,2.5,TOYOTA,Camry,Petrol,Yes,Automatic,Sedan,53314
2008,742,195200.0,1.2999999523162842,HONDA,Civic,Hybrid,No,Automatic,Sedan,7840
2011,769,189000.0,2.200000047683716,CHEVROLET,Captiva,Diesel,Yes,Automatic,Jeep,18616
2016,891,295970.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,15681
2005,2652,18500.0,2.0,TOYOTA,VOXY,Petrol,No,Variator,Minivan,7500
2012,475,127520.0,1.399999976158142,FIAT,500,Petrol,No,Manual,Hatchback,10976
2004,2342,234758.0,1.2000000476837158,RENAULT,Kangoo,Petrol,No,Manual,Goods wagon,6899
2007,1310,248000.0,2.4000000953674316,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,18503
2010,1024,152000.0,2.5,TOYOTA,Camry,Petrol,No,Manual,Sedan,12544
2016,1935,67882.0,4.599999904632568,MERCEDES-BENZ,S 550,Petrol,Yes,Automatic,Sedan,19444
2013,585,152000.0,1.7999999523162842,TOYOTA,Prius plagin,Petrol,No,Automatic,Hatchback,23521
2011,871,248000.0,1.399999976158142,CHEVROLET,Volt,Plug-in Hybrid,Yes,Automatic,Hatchback,22580
2009,878,170000.0,1.7999999523162842,FORD,Transit Connect,Diesel,No,Manual,Goods wagon,10976
2011,871,121000.0,1.7999999523162842,TOYOTA,Prius,Petrol,No,Variator,Sedan,17249
1996,1481,200000.0,2.5,FORD,Transit პერეგაროტკა,Diesel,Yes,Manual,Microbus,200
2013,1360,243467.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,627
2008,1850,494317.0,3.5,MERCEDES-BENZ,E 350,Diesel,Yes,Automatic,Sedan,4547
2007,1310,88000.0,2.4000000953674316,HONDA,Cr-v,Petrol,No,Automatic,Jeep,18503
2002,1797,120000.0,2.0,TOYOTA,RAV 4 L,Petrol,No,Automatic,Jeep,13172
1995,1964,170000.0,3.0,TOYOTA,Hilux Surf,Petrol,No,Automatic,Jeep,3763
2007,1310,105000.0,1.5,NISSAN,Tiida,Petrol,Yes,Variator,Hatchback,8467
2015,765,94090.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,51373
2014,915,93000.0,3.0,BMW,X5,Diesel,Yes,Tiptronic,Jeep,95651
2015,765,31880.0,2.0,CHEVROLET,Orlando,LPG,Yes,Automatic,Jeep,18346
2015,562,59763.0,1.399999976158142,FIAT,500 Sport,Petrol,Yes,Manual,Hatchback,11133
2010,1811,155821.0,4.599999904632568,LEXUS,GX 460,Petrol,Yes,Automatic,Jeep,39829
2012,503,69900.0,1.5,TOYOTA,Aqua,Petrol,Yes,Automatic,Hatchback,27679
2014,308,263392.0,1.7999999523162842,TOYOTA,Prius,Hybrid,Yes,Automatic,Hatchback,1882
1998,1700,282099.0,2.0,HONDA,Cr-v,Petrol,No,Automatic,Jeep,6899
2002,1797,262000.0,3.0,FORD,Escape,CNG,No,Automatic,Jeep,6899
2019,1869,22293.0,3.5999999046325684,DODGE,Ramcharger,Petrol,Yes,Automatic,Sedan,16935
2012,586,197619.0,1.7999999523162842,TOYOTA,Prius,Hybrid,No,Automatic,Hatchback,18817
2013,917,119000.0,3.0,BMW,X5,Petrol,Yes,Tiptronic,Jeep,33556
2014,639,60781.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,23687
2012,586,192683.0,1.7999999523162842,LEXUS,CT 200h,Hybrid,Yes,Automatic,Hatchback,627
2002,1797,5000.0,2.700000047683716,MERCEDES-BENZ,E 270,Diesel,Yes,Automatic,Sedan,14113
2003,2046,178000.0,3.5,MERCEDES-BENZ,ML 350,CNG,Yes,Automatic,Jeep,7213
2012,475,104000.0,1.399999976158142,CHEVROLET,Cruze,Petrol,Yes,Tiptronic,Sedan,14113
2009,1145,140000.0,2.4000000953674316,TOYOTA,Camry,Hybrid,No,Automatic,Sedan,10976
2005,2652,234082.0,2.0,SUBARU,Legacy,Petrol,No,Tiptronic,Universal,4077
2004,2342,150000.0,1.7000000476837158,HONDA,Civic,LPG,No,Variator,Hatchback,8467
2014,394,115312.0,2.5,TOYOTA,Camry,Hybrid,Yes,Automatic,Sedan,706
2011,645,0.0,1.7999999523162842,HYUNDAI,Elantra,Petrol,Yes,Tiptronic,Sedan,16308
2003,2046,0.0,2.200000047683716,MERCEDES-BENZ,Sprinter 308 CDI,Diesel,No,Manual,Microbus,13000
2013,530,108222.0,1.600000023841858,NISSAN,Juke,Petrol,Yes,Automatic,Jeep,7527
2014,777,134000.0,2.5,FORD,Fusion,Petrol,No,Automatic,Sedan,14113
1999,3138,6789.0,3.200000047683716,MERCEDES-BENZ,S 500 67,CNG,Yes,Tiptronic,Sedan,7000
2010,836,107374.0,2.0,HYUNDAI,Tucson,Diesel,Yes,Automatic,Jeep,24709
2013,640,194210.0,2.0,HYUNDAI,Sonata,Petrol,Yes,Automatic,Sedan,16308
2010,1024,106000.0,2.5,SUBARU,Forester,Petrol,No,Tiptronic,Jeep,14113
2006,1569,173000.0,1.399999976158142,TOYOTA,Prius,Hybrid,No,Variator,Hatchback,11917
2005,2652,180600.0,1.7000000476837158,MERCEDES-BENZ,A 170,Petrol,No,Tiptronic,Hatchback,7213
2012,753,259934.0,2.4000000953674316,HYUNDAI,Sonata,Hybrid,Yes,Automatic,Sedan,4077
2014,777,68200.0,2.5,NISSAN,Rogue,Petrol,Yes,Variator,Jeep,29793
2006,1569,220000.0,3.5,HONDA,Odyssey,CNG,Yes,Automatic,Minivan,17421
2011,1018,207694.0,3.0,BMW,X5,Diesel,Yes,Automatic,Jeep,10036
2009,1145,245000.0,2.5,FORD,Fusion,Hybrid,Yes,Automatic,Sedan,17249
2016,891,176927.0,2.0,HYUNDAI,Santa FE,Diesel,Yes,Automatic,Jeep,40057
2001,2443,200000.0,1.899999976158142,MERCEDES-BENZ,A 190,LPG,Yes,Tiptronic,Hatchback,7527
2008,1091,62823.0,2.0,CHEVROLET,Cruze,Petrol,Yes,Automatic,Sedan,4547
2013,530,114000.0,1.600000023841858,HYUNDAI,Veloster,Petrol,Yes,Tiptronic,Sedan,16621
2013,640,82314.0,2.0,HYUNDAI,Sonata,LPG,Yes,Automatic,Sedan,7997
2012,642,267184.0,2.0,SUZUKI,SX4,Petrol,Yes,Automatic,Sedan,627
2015,765,85985.0,2.0,FORD,Focus SE,Petrol,No,Tiptronic,Hatchback,11917
2013,1055,121600.0,3.5,MERCEDES-BENZ,E 350,Petrol,Yes,Automatic,Sedan,51746
2012,780,81000.0,1.2999999523162842,HONDA,FIT,Hybrid,No,Automatic,Hatchback,12544
2014,528,161296.0,1.600000023841858,CHEVROLET,Orlando,Diesel,Yes,Automatic,Jeep,19080
2016,730,28332.0,1.600000023841858,HYUNDAI,Elantra,LPG,Yes,Automatic,Sedan,18503
2014,382,141410.0,2.4000000953674316,KIA,Optima,Hybrid,Yes,Automatic,Sedan,470
1998,1700,0.0,2.0,MERCEDES-BENZ,E 200,Petrol,Yes,Automatic,Sedan,6899
2005,2652,10000.0,4.400000095367432,BMW,X5,LPG,Yes,Tiptronic,Jeep,100
